17:47:52.082 [ExampleSystem-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
17:48:43.514 [ExampleSystem-akka.actor.default-dispatcher-14] WARN  a.remote.ReliableDeliverySupervisor - Association with remote system [akka.tcp://ClusterSystem@127.0.0.1:2550] has failed, address is now gated for [5000] ms. Reason is: [Association failed with [akka.tcp://ClusterSystem@127.0.0.1:2550]].
17:48:43.514 [ExampleSystem-akka.actor.default-dispatcher-14] WARN  a.remote.ReliableDeliverySupervisor - Association with remote system [akka.tcp://ClusterSystem@127.0.0.1:2552] has failed, address is now gated for [5000] ms. Reason is: [Association failed with [akka.tcp://ClusterSystem@127.0.0.1:2552]].
18:14:44.705 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
18:14:44.752 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Remoting - Starting remoting
18:14:44.892 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://ClusterSystem@127.0.0.1:2551]
18:14:44.902 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Starting up...
18:14:44.952 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Registered cluster JMX MBean [akka:type=Cluster]
18:14:44.952 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Started up successfully
18:14:44.952 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
18:14:44.962 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Metrics collection has started successfully
18:14:44.972 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
18:14:44.982 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Remoting - Starting remoting
18:14:44.982 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://ClusterSystem@127.0.0.1:2552]
18:14:44.992 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Starting up...
18:14:44.992 [ClusterSystem-akka.actor.default-dispatcher-6] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Started up successfully
18:14:44.992 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
18:14:44.992 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Metrics collection has started successfully
18:14:45.002 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
18:14:45.002 [ClusterSystem-akka.actor.default-dispatcher-5] INFO  Remoting - Starting remoting
18:14:45.012 [ClusterSystem-akka.actor.default-dispatcher-5] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://ClusterSystem@127.0.0.1:65260]
18:14:45.022 [ClusterSystem-akka.actor.default-dispatcher-5] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65260] - Starting up...
18:14:45.022 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65260] - Started up successfully
18:14:45.022 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65260] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
18:14:45.022 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65260] - Metrics collection has started successfully
18:14:45.072 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Node [akka.tcp://ClusterSystem@127.0.0.1:2551] is JOINING, roles []
18:14:45.974 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Leader is moving node [akka.tcp://ClusterSystem@127.0.0.1:2551] to [Up]
18:14:45.984 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:2551, status = Up)
18:14:50.112 [ClusterSystem-akka.actor.default-dispatcher-14] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Node [akka.tcp://ClusterSystem@127.0.0.1:2552] is JOINING, roles []
18:14:50.112 [ClusterSystem-akka.actor.default-dispatcher-14] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Node [akka.tcp://ClusterSystem@127.0.0.1:65260] is JOINING, roles []
18:14:50.192 [ClusterSystem-akka.actor.default-dispatcher-21] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65260] - Welcome from [akka.tcp://ClusterSystem@127.0.0.1:2551]
18:14:50.192 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Welcome from [akka.tcp://ClusterSystem@127.0.0.1:2551]
18:14:50.192 [ClusterSystem-akka.actor.default-dispatcher-21] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:2551, status = Up)
18:14:50.192 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:2551, status = Up)
18:14:50.962 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Leader is moving node [akka.tcp://ClusterSystem@127.0.0.1:2552] to [Up]
18:14:50.962 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Leader is moving node [akka.tcp://ClusterSystem@127.0.0.1:65260] to [Up]
18:14:50.962 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:2552, status = Up)
18:14:50.962 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:65260, status = Up)
18:14:50.972 [ClusterSystem-akka.actor.default-dispatcher-18] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:2552, status = Up)
18:14:50.972 [ClusterSystem-akka.actor.default-dispatcher-18] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:65260, status = Up)
18:14:51.012 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:2552, status = Up)
18:14:51.012 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:65260, status = Up)
18:16:48.941 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
18:16:48.991 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Remoting - Starting remoting
18:16:49.131 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://ClusterSystem@127.0.0.1:2551]
18:16:49.147 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Starting up...
18:16:49.194 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Registered cluster JMX MBean [akka:type=Cluster]
18:16:49.194 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Started up successfully
18:16:49.199 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
18:16:49.204 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Metrics collection has started successfully
18:16:50.263 [ClusterSystem-akka.actor.default-dispatcher-15] WARN  a.remote.ReliableDeliverySupervisor - Association with remote system [akka.tcp://ClusterSystem@127.0.0.1:2552] has failed, address is now gated for [5000] ms. Reason is: [Association failed with [akka.tcp://ClusterSystem@127.0.0.1:2552]].
18:16:54.221 [ClusterSystem-akka.actor.default-dispatcher-23] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Node [akka.tcp://ClusterSystem@127.0.0.1:2551] is JOINING, roles []
18:16:55.217 [ClusterSystem-akka.actor.default-dispatcher-20] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Leader is moving node [akka.tcp://ClusterSystem@127.0.0.1:2551] to [Up]
18:16:55.217 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:2551, status = Up)
18:17:16.751 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
18:17:16.801 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Remoting - Starting remoting
18:17:16.943 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://ClusterSystem@127.0.0.1:2552]
18:17:16.953 [ClusterSystem-akka.actor.default-dispatcher-4] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Starting up...
18:17:17.003 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Registered cluster JMX MBean [akka:type=Cluster]
18:17:17.003 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Started up successfully
18:17:17.013 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
18:17:17.013 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2552] - Metrics collection has started successfully
18:18:48.533 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
18:18:48.583 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Remoting - Starting remoting
18:18:48.723 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Remoting - Remoting started; listening on addresses :[akka.tcp://ClusterSystem@127.0.0.1:65370]
18:18:48.743 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65370] - Starting up...
18:18:48.793 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65370] - Registered cluster JMX MBean [akka:type=Cluster]
18:18:48.794 [ClusterSystem-akka.actor.default-dispatcher-3] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65370] - Started up successfully
18:18:48.797 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65370] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
18:18:48.797 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65370] - Metrics collection has started successfully
18:18:48.937 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Node [akka.tcp://ClusterSystem@127.0.0.1:65370] is JOINING, roles []
18:18:49.017 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:65370] - Welcome from [akka.tcp://ClusterSystem@127.0.0.1:2551]
18:18:49.027 [ClusterSystem-akka.actor.default-dispatcher-19] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:2551, status = Up)
18:18:49.197 [ClusterSystem-akka.actor.default-dispatcher-23] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Leader is moving node [akka.tcp://ClusterSystem@127.0.0.1:65370] to [Up]
18:18:49.197 [ClusterSystem-akka.actor.default-dispatcher-23] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:65370, status = Up)
18:18:49.207 [ClusterSystem-akka.actor.default-dispatcher-14] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Up: Member(address = akka.tcp://ClusterSystem@127.0.0.1:65370, status = Up)
18:19:59.983 [ClusterSystem-akka.actor.default-dispatcher-2] WARN  a.remote.ReliableDeliverySupervisor - Association with remote system [akka.tcp://ClusterSystem@127.0.0.1:65370] has failed, address is now gated for [5000] ms. Reason is: [Disassociated].
18:20:00.003 [ClusterSystem-akka.actor.default-dispatcher-19] WARN  a.remote.ReliableDeliverySupervisor - Association with remote system [akka.tcp://ClusterSystem@127.0.0.1:65370] has failed, address is now gated for [5000] ms. Reason is: [Disassociated].
18:20:04.204 [ClusterSystem-akka.actor.default-dispatcher-16] WARN  akka.cluster.ClusterCoreDaemon - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Marking node(s) as UNREACHABLE [Member(address = akka.tcp://ClusterSystem@127.0.0.1:65370, status = Up)]
18:20:04.204 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  c.b.a.e.actor.SimpleClusterListener - Member detected as unreachable: Member(address = akka.tcp://ClusterSystem@127.0.0.1:65370, status = Up)
18:20:06.243 [ClusterSystem-akka.actor.default-dispatcher-14] WARN  a.remote.ReliableDeliverySupervisor - Association with remote system [akka.tcp://ClusterSystem@127.0.0.1:65370] has failed, address is now gated for [5000] ms. Reason is: [Association failed with [akka.tcp://ClusterSystem@127.0.0.1:65370]].
18:20:13.230 [ClusterSystem-akka.actor.default-dispatcher-21] WARN  a.remote.ReliableDeliverySupervisor - Association with remote system [akka.tcp://ClusterSystem@127.0.0.1:65370] has failed, address is now gated for [5000] ms. Reason is: [Association failed with [akka.tcp://ClusterSystem@127.0.0.1:65370]].
18:20:14.222 [ClusterSystem-akka.actor.default-dispatcher-21] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Leader is auto-downing unreachable node [akka.tcp://ClusterSystem@127.0.0.1:65370]
18:20:14.222 [ClusterSystem-akka.actor.default-dispatcher-21] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Marking unreachable node [akka.tcp://ClusterSystem@127.0.0.1:65370] as [Down]
18:20:15.212 [ClusterSystem-akka.actor.default-dispatcher-21] INFO  Cluster(akka://ClusterSystem) - Cluster Node [akka.tcp://ClusterSystem@127.0.0.1:2551] - Leader is removing unreachable node [akka.tcp://ClusterSystem@127.0.0.1:65370]
18:20:15.212 [ClusterSystem-akka.actor.default-dispatcher-21] INFO  c.b.a.e.actor.SimpleClusterListener - Member is Removed: Member(address = akka.tcp://ClusterSystem@127.0.0.1:65370, status = Removed)
18:20:28.981 [ClusterSystem-akka.actor.default-dispatcher-3] WARN  a.remote.ReliableDeliverySupervisor - Association with remote system [akka.tcp://ClusterSystem@127.0.0.1:2551] has failed, address is now gated for [5000] ms. Reason is: [Disassociated].
